geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
4,4,3,3,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.37037037037037035
3,3,3,2,1,FALSE,FALSE,Star Wars,Star Wars,18,Female,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
4,4,4,5,5,FALSE,FALSE,Star Trek,Star Trek,35,Male,Europe,Math/Statistics,FALSE,0.5925925925925926,0.9259259259259259
3,4,3,2,2,FALSE,FALSE,Star Wars,neither,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2962962962962963
3,1,2,1,1,FALSE,FALSE,neither,neither,25,Female,Europe,Math/Statistics,FALSE,0.2222222222222222,0.14814814814814814
4,4,3,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2962962962962963
4,3,3,2,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
3,4,3,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.7037037037037037,0.14814814814814814
1,4,3,3,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2962962962962963
3,2,2,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2962962962962963
2,2,2,3,3,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.48148148148148145,0.4444444444444444
4,3,4,3,2,FALSE,FALSE,Star Wars,Star Trek,35,Male,North America,Administration/Education,FALSE,0.7037037037037037,0.37037037037037035
2,1,2,1,1,FALSE,FALSE,neither,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.2222222222222222,0.14814814814814814
4,3,3,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
2,4,3,2,1,FALSE,FALSE,Star Wars,neither,35,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2222222222222222
